"","metacell","color","cell_type"
"1034","1034","#D96B2B","Erythroid 2"
"1035","1035","#D96B2B","Erythroid 2"
"1036","1036","#C9A997","Blood progenitors"
"1037","1037","#C72228","Erythroid 1"
"1038","1038","#FF5608","Erythroid 3"
"1039","1039","#C72228","Erythroid 1"
"1040","1040","#FBBE92","Haematoendothelial progenitors"
"1041","1041","#FF5608","Erythroid 3"
"1042","1042","#C9A997","Blood progenitors"
"1043","1043","#FBBE92","Haematoendothelial progenitors"
"1044","1044","#FF5608","Erythroid 3"
"1045","1045","#C9A997","Blood progenitors"
"1046","1046","#C9A997","Blood progenitors"
"1047","1047","#D96B2B","Erythroid 2"
"1048","1048","#ff891c","Endothelial cells"
"1049","1049","#C72228","Erythroid 1"
"1050","1050","#C9A997","Blood progenitors"
"1051","1051","#C9A997","Blood progenitors"
"1052","1052","#C72228","Erythroid 1"
"1053","1053","#FF5608","Erythroid 3"
"1054","1054","#D96B2B","Erythroid 2"
"1055","1055","#FF5608","Erythroid 3"
"1056","1056","#C72228","Erythroid 1"
"1057","1057","#C9A997","Blood progenitors"
"1058","1058","#FF5608","Erythroid 3"
"1059","1059","#C72228","Erythroid 1"
"1060","1060","#D96B2B","Erythroid 2"
"1061","1061","#FBBE92","Haematoendothelial progenitors"
"1062","1062","#D96B2B","Erythroid 2"
"1063","1063","#FF5608","Erythroid 3"
"1064","1064","#FF5608","Erythroid 3"
"1065","1065","#FF5608","Erythroid 3"
"1066","1066","#FF5608","Erythroid 3"
"1067","1067","#C9A997","Blood progenitors"
"1068","1068","#C72228","Erythroid 1"
"1069","1069","#C9A997","Blood progenitors"
"1070","1070","#FF5608","Erythroid 3"
"1071","1071","#C72228","Erythroid 1"
"1072","1072","#ff78fa","SpA-TGC"
"1073","1073","#ff891c","Endothelial cells"
"1074","1074","#FF5608","Erythroid 3"
"1075","1075","#FBBE92","Haematoendothelial progenitors"
"1076","1076","#D96B2B","Erythroid 2"
"1077","1077","#D96B2B","Erythroid 2"
"1078","1078","#FBBE92","Haematoendothelial progenitors"
"1079","1079","#C72228","Erythroid 1"
"1080","1080","#C72228","Erythroid 1"
"1081","1081","#C72228","Erythroid 1"
"1082","1082","#C72228","Erythroid 1"
"1083","1083","#C72228","Erythroid 1"
"1084","1084","#C9A997","Blood progenitors"
"1085","1085","#C9A997","Blood progenitors"
"1086","1086","#C72228","Erythroid 1"
"1087","1087","#C9A997","Blood progenitors"
"1088","1088","#C9A997","Blood progenitors"
"1089","1089","#ff891c","Endothelial cells"
"1090","1090","#FF5608","Erythroid 3"
"1091","1091","#C72228","Erythroid 1"
"1092","1092","#D96B2B","Erythroid 2"
"1093","1093","#C9A997","Blood progenitors"
"1094","1094","#D96B2B","Erythroid 2"
"1095","1095","#FF5608","Erythroid 3"
"1096","1096","#FF5608","Erythroid 3"
"1097","1097","#FBBE92","Haematoendothelial progenitors"
"1098","1098","#D96B2B","Erythroid 2"
"1099","1099","#C9A997","Blood progenitors"
"1100","1100","#D96B2B","Erythroid 2"
"1101","1101","#FF5608","Erythroid 3"
"1102","1102","#D96B2B","Erythroid 2"
"1103","1103","#C9A997","Blood progenitors"
"1104","1104","#D96B2B","Erythroid 2"
"1105","1105","#FBBE92","Haematoendothelial progenitors"
"1106","1106","#D96B2B","Erythroid 2"
"1107","1107","#C72228","Erythroid 1"
"1108","1108","#C9A997","Blood progenitors"
"1109","1109","#C9A997","Blood progenitors"
"1110","1110","#C72228","Erythroid 1"
"1111","1111","#C72228","Erythroid 1"
"1112","1112","#C9A997","Blood progenitors"
"1113","1113","#D96B2B","Erythroid 2"
"1114","1114","#C72228","Erythroid 1"
"1115","1115","#FBBE92","Haematoendothelial progenitors"
"1116","1116","#D96B2B","Erythroid 2"
"1117","1117","#C72228","Erythroid 1"
"1118","1118","#D96B2B","Erythroid 2"
"1119","1119","#FF5608","Erythroid 3"
"1120","1120","#D96B2B","Erythroid 2"
"1121","1121","#C72228","Erythroid 1"
"1122","1122","#D96B2B","Erythroid 2"
"1123","1123","#D96B2B","Erythroid 2"
"1124","1124","#D96B2B","Erythroid 2"
"1125","1125","#D96B2B","Erythroid 2"
"1126","1126","#D96B2B","Erythroid 2"
"1127","1127","#C72228","Erythroid 1"
"1128","1128","#FBBE92","Haematoendothelial progenitors"
"1129","1129","#C72228","Erythroid 1"
"1130","1130","#C9A997","Blood progenitors"
"1131","1131","#D96B2B","Erythroid 2"
"1132","1132","#ff891c","Endothelial cells"
"1133","1133","#D96B2B","Erythroid 2"
"1134","1134","#D96B2B","Erythroid 2"
"1135","1135","#FF5608","Erythroid 3"
"1136","1136","#D96B2B","Erythroid 2"
"1137","1137","#D96B2B","Erythroid 2"
"1138","1138","#C72228","Erythroid 1"
"1139","1139","#D96B2B","Erythroid 2"
"1140","1140","#D96B2B","Erythroid 2"
"1141","1141","#FBBE92","Haematoendothelial progenitors"
"1142","1142","#FBBE92","Haematoendothelial progenitors"
"1143","1143","#ff891c","Endothelial cells"
"1144","1144","#ff891c","Endothelial cells"
"1145","1145","#ff891c","Endothelial cells"
"1146","1146","#ff891c","Endothelial cells"
"1147","1147","#ff891c","Endothelial cells"
"1148","1148","#FBBE92","Haematoendothelial progenitors"
"1149","1149","#FBBE92","Haematoendothelial progenitors"
"1150","1150","#FBBE92","Haematoendothelial progenitors"
"1151","1151","#FF5608","Erythroid 3"
"1152","1152","#ff891c","Endothelial cells"
"1153","1153","#FF5608","Erythroid 3"
"1154","1154","#FBBE92","Haematoendothelial progenitors"
"1155","1155","#FF5608","Erythroid 3"
"1156","1156","#FBBE92","Haematoendothelial progenitors"
"1157","1157","#ff891c","Endothelial cells"
"1158","1158","#FBBE92","Haematoendothelial progenitors"
"1159","1159","#ff891c","Endothelial cells"
"1160","1160","#FBBE92","Haematoendothelial progenitors"
"1161","1161","#FBBE92","Haematoendothelial progenitors"
"1162","1162","#FBBE92","Haematoendothelial progenitors"
"1163","1163","#C72228","Erythroid 1"
"1164","1164","#D96B2B","Erythroid 2"
"1165","1165","#ff891c","Endothelial cells"
"1166","1166","#ff891c","Endothelial cells"
"1167","1167","#ff891c","Endothelial cells"
"1168","1168","#7F6874","ExE visceral endoderm"
"1169","1169","#7F6874","ExE visceral endoderm"
"1170","1170","#EF5A9D","Gut"
"1171","1171","#1A1A1A","Parietal endoderm"
"1172","1172","#F6BFCB","Visceral endoderm"
"1173","1173","#F6BFCB","Visceral endoderm"
"1174","1174","#1A1A1A","Parietal endoderm"
"1175","1175","#1A1A1A","Parietal endoderm"
"1176","1176","#EF5A9D","Gut"
"1177","1177","#7F6874","ExE visceral endoderm"
"1178","1178","#7F6874","ExE visceral endoderm"
"1179","1179","#1A1A1A","Parietal endoderm"
"1180","1180","#1A1A1A","Parietal endoderm"
"1181","1181","#F6BFCB","Visceral endoderm"
"1182","1182","#F6BFCB","Visceral endoderm"
"1183","1183","#7F6874","ExE visceral endoderm"
"1184","1184","#BA9BA1","Visceral endoderm - anterior"
"1185","1185","#F25CD4","Hindgut"
"1186","1186","#7F6874","ExE visceral endoderm"
"1187","1187","#7F6874","ExE visceral endoderm"
"1188","1188","#F6BFCB","Visceral endoderm"
"1189","1189","#EF5A9D","Gut"
"1190","1190","#EF5A9D","Gut"
"1191","1191","#1A1A1A","Parietal endoderm"
"1192","1192","#7F6874","ExE visceral endoderm"
"1193","1193","#7F6874","ExE visceral endoderm"
"1194","1194","#1A1A1A","Parietal endoderm"
"1195","1195","#7F6874","ExE visceral endoderm"
"1196","1196","#7F6874","ExE visceral endoderm"
"1197","1197","#EF5A9D","Gut"
"1198","1198","#7F6874","ExE visceral endoderm"
"1199","1199","#EF5A9D","Gut"
"1200","1200","#1A1A1A","Parietal endoderm"
"1201","1201","#1A1A1A","Parietal endoderm"
"1202","1202","#F6BFCB","Visceral endoderm"
"1203","1203","#7F6874","ExE visceral endoderm"
"1204","1204","#EF5A9D","Gut"
"1205","1205","#F6BFCB","Visceral endoderm"
"1206","1206","#1A1A1A","Parietal endoderm"
"1207","1207","#EF5A9D","Gut"
"1208","1208","#F6BFCB","Visceral endoderm"
"1209","1209","#EF5A9D","Gut"
"1210","1210","#7F6874","ExE visceral endoderm"
"1211","1211","#7F6874","ExE visceral endoderm"
"1212","1212","#EF5A9D","Gut"
"1213","1213","#7F6874","ExE visceral endoderm"
"1214","1214","#7F6874","ExE visceral endoderm"
"1215","1215","#EF5A9D","Gut"
"1216","1216","#1A1A1A","Parietal endoderm"
"1217","1217","#7F6874","ExE visceral endoderm"
"1218","1218","#F6BFCB","Visceral endoderm"
"1219","1219","#7F6874","ExE visceral endoderm"
"1220","1220","#1A1A1A","Parietal endoderm"
"1221","1221","#F6BFCB","Visceral endoderm"
"1222","1222","#F6BFCB","Visceral endoderm"
"1223","1223","#1A1A1A","Parietal endoderm"
"1224","1224","#7F6874","ExE visceral endoderm"
"1225","1225","#7F6874","ExE visceral endoderm"
"1226","1226","#1A1A1A","Parietal endoderm"
"1227","1227","#F6BFCB","Visceral endoderm"
"1228","1228","#7F6874","ExE visceral endoderm"
"1229","1229","#7F6874","ExE visceral endoderm"
"1230","1230","#7F6874","ExE visceral endoderm"
"1231","1231","#7F6874","ExE visceral endoderm"
"1232","1232","#F6BFCB","Visceral endoderm"
"1233","1233","#F6BFCB","Visceral endoderm"
"1234","1234","#EF5A9D","Gut"
"1235","1235","#7F6874","ExE visceral endoderm"
"1236","1236","#7F6874","ExE visceral endoderm"
"1237","1237","#1A1A1A","Parietal endoderm"
"1238","1238","#1A1A1A","Parietal endoderm"
"1239","1239","#F25CD4","Hindgut"
"1240","1240","#1A1A1A","Parietal endoderm"
"1241","1241","#F6BFCB","Visceral endoderm"
"1242","1242","#F6BFCB","Visceral endoderm"
"1243","1243","#F25CD4","Hindgut"
"1244","1244","#7F6874","ExE visceral endoderm"
"1245","1245","#1A1A1A","Parietal endoderm"
"1246","1246","#F25CD4","Hindgut"
"1247","1247","#BA9BA1","Visceral endoderm - anterior"
"1248","1248","#7F6874","ExE visceral endoderm"
"1249","1249","#F6BFCB","Visceral endoderm"
"1250","1250","#F6BFCB","Visceral endoderm"
"1251","1251","#F6BFCB","Visceral endoderm"
"1252","1252","#F6BFCB","Visceral endoderm"
"1253","1253","#7F6874","ExE visceral endoderm"
"1254","1254","#F6BFCB","Visceral endoderm"
"1255","1255","#F6BFCB","Visceral endoderm"
"1256","1256","#7F6874","ExE visceral endoderm"
"1257","1257","#EF5A9D","Gut"
"1258","1258","#1A1A1A","Parietal endoderm"
"1259","1259","#7F6874","ExE visceral endoderm"
"1260","1260","#1A1A1A","Parietal endoderm"
"1261","1261","#F6BFCB","Visceral endoderm"
"1262","1262","#1A1A1A","Parietal endoderm"
"1263","1263","#1A1A1A","Parietal endoderm"
"1264","1264","#1A1A1A","Parietal endoderm"
"1265","1265","#1A1A1A","Parietal endoderm"
"1266","1266","#7F6874","ExE visceral endoderm"
"1267","1267","#1A1A1A","Parietal endoderm"
"1268","1268","#7F6874","ExE visceral endoderm"
"1269","1269","#7F6874","ExE visceral endoderm"
"1270","1270","#1A1A1A","Parietal endoderm"
"1271","1271","#7F6874","ExE visceral endoderm"
"1272","1272","#1A1A1A","Parietal endoderm"
"1273","1273","#7F6874","ExE visceral endoderm"
"1274","1274","#7F6874","ExE visceral endoderm"
"1275","1275","#7F6874","ExE visceral endoderm"
"1276","1276","#7F6874","ExE visceral endoderm"
"1277","1277","#1A1A1A","Parietal endoderm"
"1278","1278","#7F6874","ExE visceral endoderm"
"1279","1279","#F6BFCB","Visceral endoderm"
"1280","1280","#1A1A1A","Parietal endoderm"
"1281","1281","#1A1A1A","Parietal endoderm"
"1282","1282","#7F6874","ExE visceral endoderm"
"1283","1283","#EF5A9D","Gut"
"1284","1284","#F6BFCB","Visceral endoderm"
"1285","1285","#7F6874","ExE visceral endoderm"
"1286","1286","#7F6874","ExE visceral endoderm"
"1287","1287","#7F6874","ExE visceral endoderm"
"1288","1288","#7F6874","ExE visceral endoderm"
"1289","1289","#7F6874","ExE visceral endoderm"
"1290","1290","#7F6874","ExE visceral endoderm"
"1291","1291","#1A1A1A","Parietal endoderm"
"1292","1292","#F6BFCB","Visceral endoderm"
"1293","1293","#F25CD4","Hindgut"
"1294","1294","#1A1A1A","Parietal endoderm"
"1295","1295","#1A1A1A","Parietal endoderm"
"1296","1296","#1A1A1A","Parietal endoderm"
"1297","1297","#1A1A1A","Parietal endoderm"
"1298","1298","#7F6874","ExE visceral endoderm"
"1299","1299","#F25CD4","Hindgut"
"1300","1300","#7F6874","ExE visceral endoderm"
"1301","1301","#7F6874","ExE visceral endoderm"
"1302","1302","#1A1A1A","Parietal endoderm"
"1303","1303","#7F6874","ExE visceral endoderm"
"1304","1304","#EF5A9D","Gut"
"1305","1305","#F25CD4","Hindgut"
"1306","1306","#1A1A1A","Parietal endoderm"
"1307","1307","#1A1A1A","Parietal endoderm"
"1308","1308","#EF5A9D","Gut"
"1309","1309","#1A1A1A","Parietal endoderm"
"1310","1310","#1A1A1A","Parietal endoderm"
"1311","1311","#7F6874","ExE visceral endoderm"
"1312","1312","#7F6874","ExE visceral endoderm"
"1313","1313","#7F6874","ExE visceral endoderm"
"1314","1314","#7F6874","ExE visceral endoderm"
"1315","1315","#F6BFCB","Visceral endoderm"
"1316","1316","#7F6874","ExE visceral endoderm"
"1317","1317","#BA9BA1","Visceral endoderm - anterior"
"1318","1318","#BA9BA1","Visceral endoderm - anterior"
"1319","1319","#F6BFCB","Visceral endoderm"
"1320","1320","#BA9BA1","Visceral endoderm - anterior"
"1321","1321","#7F6874","ExE visceral endoderm"
"1322","1322","#BA9BA1","Visceral endoderm - anterior"
"1323","1323","#BA9BA1","Visceral endoderm - anterior"
"1324","1324","#BA9BA1","Visceral endoderm - anterior"
"1325","1325","#BA9BA1","Visceral endoderm - anterior"
"1326","1326","#F6BFCB","Visceral endoderm"
"1327","1327","#7F6874","ExE visceral endoderm"
"1328","1328","#BA9BA1","Visceral endoderm - anterior"
"1329","1329","#7F6874","ExE visceral endoderm"
"1330","1330","#7F6874","ExE visceral endoderm"
"1331","1331","#EF5A9D","Gut"
"1332","1332","#7F6874","ExE visceral endoderm"
"1333","1333","#7F6874","ExE visceral endoderm"
"1334","1334","#EF5A9D","Gut"
"1335","1335","#EF5A9D","Gut"
"1336","1336","#9e6762","Caudal epiblast"
"1337","1337","#0F4A9C","Node/Notochord"
"1338","1338","#90BF75","Definitive ectoderm"
"1339","1339","#c19f70","Anterior Primitive Streak"
"1340","1340","#0F4A9C","Node/Notochord"
"1341","1341","#C594BF","Early nascent mesoderm"
"1342","1342","#F397C0","Definitive endoderm"
"1343","1343","#DABE99","Primitive streak"
"1344","1344","#DABE99","Primitive streak"
"1345","1345","#DABE99","Primitive streak"
"1346","1346","#C594BF","Early nascent mesoderm"
"1347","1347","#C594BF","Early nascent mesoderm"
"1348","1348","#635547","Epiblast"
"1349","1349","#DABE99","Primitive streak"
"1350","1350","#0F4A9C","Node/Notochord"
"1351","1351","#c19f70","Anterior Primitive Streak"
"1352","1352","#F397C0","Definitive endoderm"
"1353","1353","#DABE99","Primitive streak"
"1354","1354","#C594BF","Early nascent mesoderm"
"1355","1355","#DABE99","Primitive streak"
"1356","1356","#9e6762","Caudal epiblast"
"1357","1357","#DABE99","Primitive streak"
"1358","1358","#DABE99","Primitive streak"
"1359","1359","#DABE99","Primitive streak"
"1360","1360","#DABE99","Primitive streak"
"1361","1361","#DABE99","Primitive streak"
"1362","1362","#DABE99","Primitive streak"
"1363","1363","#F397C0","Definitive endoderm"
"1364","1364","#c19f70","Anterior Primitive Streak"
"1365","1365","#C594BF","Early nascent mesoderm"
"1366","1366","#DABE99","Primitive streak"
"1367","1367","#DABE99","Primitive streak"
"1368","1368","#0F4A9C","Node/Notochord"
"1369","1369","#DABE99","Primitive streak"
"1370","1370","#9e6762","Caudal epiblast"
"1371","1371","#0F4A9C","Node/Notochord"
"1372","1372","#635547","Epiblast"
"1373","1373","#635547","Epiblast"
"1374","1374","#0F4A9C","Node/Notochord"
"1375","1375","#0F4A9C","Node/Notochord"
"1376","1376","#DABE99","Primitive streak"
"1377","1377","#F397C0","Definitive endoderm"
"1378","1378","#DABE99","Primitive streak"
"1379","1379","#DABE99","Primitive streak"
"1380","1380","#F397C0","Definitive endoderm"
"1381","1381","#DABE99","Primitive streak"
"1382","1382","#DABE99","Primitive streak"
"1383","1383","#C594BF","Early nascent mesoderm"
"1384","1384","#0F4A9C","Node/Notochord"
"1385","1385","#0F4A9C","Node/Notochord"
"1386","1386","#0F4A9C","Node/Notochord"
"1387","1387","#DABE99","Primitive streak"
"1388","1388","#F397C0","Definitive endoderm"
"1389","1389","#C594BF","Early nascent mesoderm"
"1390","1390","#DABE99","Primitive streak"
"1391","1391","#DABE99","Primitive streak"
"1392","1392","#9e6762","Caudal epiblast"
"1393","1393","#DABE99","Primitive streak"
"1394","1394","#9e6762","Caudal epiblast"
"1395","1395","#0F4A9C","Node/Notochord"
"1396","1396","#9e6762","Caudal epiblast"
"1397","1397","#DABE99","Primitive streak"
"1398","1398","#9e6762","Caudal epiblast"
"1399","1399","#DABE99","Primitive streak"
"1400","1400","#DABE99","Primitive streak"
"1401","1401","#F397C0","Definitive endoderm"
"1402","1402","#DABE99","Primitive streak"
"1403","1403","#C594BF","Early nascent mesoderm"
"1404","1404","#F397C0","Definitive endoderm"
"1405","1405","#9e6762","Caudal epiblast"
"1406","1406","#0F4A9C","Node/Notochord"
"1407","1407","#635547","Epiblast"
"1408","1408","#DABE99","Primitive streak"
"1409","1409","#DABE99","Primitive streak"
"1410","1410","#0F4A9C","Node/Notochord"
"1411","1411","#F397C0","Definitive endoderm"
"1412","1412","#C594BF","Early nascent mesoderm"
"1413","1413","#c19f70","Anterior Primitive Streak"
"1414","1414","#DABE99","Primitive streak"
"1415","1415","#DABE99","Primitive streak"
"1416","1416","#DABE99","Primitive streak"
"1417","1417","#DABE99","Primitive streak"
"1418","1418","#DABE99","Primitive streak"
"1419","1419","#DABE99","Primitive streak"
"1420","1420","#DABE99","Primitive streak"
"1421","1421","#90BF75","Definitive ectoderm"
"1422","1422","#DABE99","Primitive streak"
"1423","1423","#DABE99","Primitive streak"
"1424","1424","#DABE99","Primitive streak"
"1425","1425","#DABE99","Primitive streak"
"1426","1426","#DABE99","Primitive streak"
"1427","1427","#c19f70","Anterior Primitive Streak"
"1428","1428","#0F4A9C","Node/Notochord"
"1429","1429","#c19f70","Anterior Primitive Streak"
"1430","1430","#c19f70","Anterior Primitive Streak"
"1431","1431","#DFCDE4","Late nascent mesoderm"
"1432","1432","#DABE99","Primitive streak"
"1433","1433","#9e6762","Caudal epiblast"
"1434","1434","#DABE99","Primitive streak"
"1435","1435","#DABE99","Primitive streak"
"1436","1436","#C594BF","Early nascent mesoderm"
"1437","1437","#DABE99","Primitive streak"
"1438","1438","#c19f70","Anterior Primitive Streak"
"1439","1439","#c19f70","Anterior Primitive Streak"
"1440","1440","#DABE99","Primitive streak"
"1441","1441","#DABE99","Primitive streak"
"1442","1442","#EF5A9D","Gut"
"1443","1443","#C594BF","Early nascent mesoderm"
"1444","1444","#C594BF","Early nascent mesoderm"
"1445","1445","#EF5A9D","Gut"
"1446","1446","#EF5A9D","Gut"
"1447","1447","#EF5A9D","Gut"
"1448","1448","#EF5A9D","Gut"
"1449","1449","#C594BF","Early nascent mesoderm"
"1450","1450","#C594BF","Early nascent mesoderm"
"1451","1451","#C594BF","Early nascent mesoderm"
"1452","1452","#C594BF","Early nascent mesoderm"
"1453","1453","#EF5A9D","Gut"
"1454","1454","#9e6762","Caudal epiblast"
"1455","1455","#EF5A9D","Gut"
"1456","1456","#EF5A9D","Gut"
"1457","1457","#9e6762","Caudal epiblast"
"1458","1458","#703C37","Tail bud - mesoderm"
"1459","1459","#9e6762","Caudal epiblast"
"1460","1460","#9e6762","Caudal epiblast"
"1461","1461","#0F4A9C","Node/Notochord"
"1462","1462","#DFCDE4","Late nascent mesoderm"
"1463","1463","#45d1c5","Lateral & intermediate mesoderm"
"1464","1464","#408DA1","Paraxial mesoderm"
"1465","1465","#DFCDE4","Late nascent mesoderm"
"1466","1466","#8DB5CE","Rostral mesoderm"
"1467","1467","#53f1fc","Cardiopharyngeal mesoderm"
"1468","1468","#408DA1","Paraxial mesoderm"
"1469","1469","#DFCDE4","Late nascent mesoderm"
"1470","1470","#DFCDE4","Late nascent mesoderm"
"1471","1471","#1AA2EB","Somitic mesoderm"
"1472","1472","#C594BF","Early nascent mesoderm"
"1473","1473","#DFCDE4","Late nascent mesoderm"
"1474","1474","#408DA1","Paraxial mesoderm"
"1475","1475","#408DA1","Paraxial mesoderm"
"1476","1476","#408DA1","Paraxial mesoderm"
"1477","1477","#C594BF","Early nascent mesoderm"
"1478","1478","#A8DBF7","Presomitic mesoderm"
"1479","1479","#C594BF","Early nascent mesoderm"
"1480","1480","#C594BF","Early nascent mesoderm"
"1481","1481","#408DA1","Paraxial mesoderm"
"1482","1482","#53f1fc","Cardiopharyngeal mesoderm"
"1483","1483","#53f1fc","Cardiopharyngeal mesoderm"
"1484","1484","#53f1fc","Cardiopharyngeal mesoderm"
"1485","1485","#DFCDE4","Late nascent mesoderm"
"1486","1486","#DFCDE4","Late nascent mesoderm"
"1487","1487","#C594BF","Early nascent mesoderm"
"1488","1488","#C594BF","Early nascent mesoderm"
"1489","1489","#408DA1","Paraxial mesoderm"
"1490","1490","#408DA1","Paraxial mesoderm"
"1491","1491","#408DA1","Paraxial mesoderm"
"1492","1492","#DFCDE4","Late nascent mesoderm"
"1493","1493","#DFCDE4","Late nascent mesoderm"
"1494","1494","#C594BF","Early nascent mesoderm"
"1495","1495","#8DB5CE","Rostral mesoderm"
"1496","1496","#A8DBF7","Presomitic mesoderm"
"1497","1497","#DFCDE4","Late nascent mesoderm"
"1498","1498","#DFCDE4","Late nascent mesoderm"
"1499","1499","#1AA2EB","Somitic mesoderm"
"1500","1500","#408DA1","Paraxial mesoderm"
"1501","1501","#408DA1","Paraxial mesoderm"
"1502","1502","#DFCDE4","Late nascent mesoderm"
"1503","1503","#DFCDE4","Late nascent mesoderm"
"1504","1504","#408DA1","Paraxial mesoderm"
"1505","1505","#8DB5CE","Rostral mesoderm"
"1506","1506","#408DA1","Paraxial mesoderm"
"1507","1507","#53f1fc","Cardiopharyngeal mesoderm"
"1508","1508","#C594BF","Early nascent mesoderm"
"1509","1509","#53f1fc","Cardiopharyngeal mesoderm"
